case:concept:name,event_count,unique_activity_count,first_event,last_event,purchasing_document,item,vendor,company,duration_hours
4508057141_00001,350,3,2018-09-21 21:30:00+00:00,2018-09-21 22:29:00+00:00,4508057141,00001,vendorID_0234,companyID_0000,0.98
4507028299_00001,348,3,2018-05-09 21:30:00+00:00,2018-05-09 22:44:00+00:00,4507028299,00001,vendorID_0234,companyID_0000,1.23
4508053640_00001,346,3,2018-09-04 21:30:00+00:00,2018-09-04 22:49:00+00:00,4508053640,00001,vendorID_0234,companyID_0000,1.32
4507036789_00001,345,6,2018-06-14 20:44:00+00:00,2018-09-06 12:09:00+00:00,4507036789,00001,vendorID_0230,companyID_0000,2007.42
4507012818_00001,344,3,2018-02-27 22:30:00+00:00,2018-02-27 23:50:00+00:00,4507012818,00001,vendorID_0234,companyID_0000,1.33
4508051804_00001,343,3,2018-08-28 21:30:00+00:00,2018-08-28 22:43:00+00:00,4508051804,00001,vendorID_0234,companyID_0000,1.22
4507039262_00001,341,3,2018-06-26 21:30:00+00:00,2018-06-26 22:41:00+00:00,4507039262,00001,vendorID_0234,companyID_0000,1.18
4508052651_00001,338,3,2018-08-31 21:30:00+00:00,2018-08-31 22:42:00+00:00,4508052651,00001,vendorID_0234,companyID_0000,1.2
4507021071_00001,337,3,2018-04-05 21:30:00+00:00,2018-04-05 22:41:00+00:00,4507021071,00001,vendorID_0234,companyID_0000,1.18
4508050405_00001,337,3,2018-08-21 21:30:00+00:00,2018-08-21 22:53:00+00:00,4508050405,00001,vendorID_0234,companyID_0000,1.38
4507015449_00001,333,3,2018-03-09 22:30:00+00:00,2018-03-09 23:24:00+00:00,4507015449,00001,vendorID_0234,companyID_0000,0.9
4507040257_00001,331,3,2018-06-29 21:30:00+00:00,2018-06-29 22:19:00+00:00,4507040257,00001,vendorID_0234,companyID_0000,0.82
4507024065_00001,330,3,2018-04-18 21:30:00+00:00,2018-04-18 22:30:00+00:00,4507024065,00001,vendorID_0234,companyID_0000,1.0
4507019022_00001,328,6,2018-03-26 20:43:00+00:00,2018-06-07 11:13:00+00:00,4507019022,00001,vendorID_0230,companyID_0000,1742.5
4507025635_00001,328,3,2018-04-25 21:30:00+00:00,2018-04-25 22:39:00+00:00,4507025635,00001,vendorID_0234,companyID_0000,1.15
4507020801_00001,327,3,2018-04-04 21:30:00+00:00,2018-04-04 22:24:00+00:00,4507020801,00001,vendorID_0234,companyID_0000,0.9
4507031097_00001,327,6,2018-05-23 20:48:00+00:00,2018-08-09 12:30:00+00:00,4507031097,00001,vendorID_0230,companyID_0000,1863.7
4508074834_00001,326,3,2018-12-18 02:54:00+00:00,2018-12-18 23:18:00+00:00,4508074834,00001,vendorID_0234,companyID_0000,20.4
4507023079_00001,325,3,2018-04-13 21:30:00+00:00,2018-04-13 22:29:00+00:00,4507023079,00001,vendorID_0234,companyID_0000,0.98
4507035123_00001,325,6,2018-06-07 20:47:00+00:00,2018-09-06 12:09:00+00:00,4507035123,00001,vendorID_0230,companyID_0000,2175.37
4507030337_00001,324,3,2018-05-18 21:30:00+00:00,2018-05-18 22:26:00+00:00,4507030337,00001,vendorID_0234,companyID_0000,0.93
4507008060_00001,324,3,2018-02-06 22:30:00+00:00,2018-02-06 23:30:00+00:00,4507008060,00001,vendorID_0234,companyID_0000,1.0
4508044597_00001,321,3,2018-07-20 21:30:00+00:00,2018-07-20 22:23:00+00:00,4508044597,00001,vendorID_0234,companyID_0000,0.88
4507029715_00001,321,3,2018-05-16 21:30:00+00:00,2018-05-16 22:27:00+00:00,4507029715,00001,vendorID_0234,companyID_0000,0.95
4507037107_00001,321,3,2018-06-15 21:30:00+00:00,2018-06-15 22:27:00+00:00,4507037107,00001,vendorID_0234,companyID_0000,0.95
4508049125_00001,320,3,2018-08-14 21:30:00+00:00,2018-08-14 22:34:00+00:00,4508049125,00001,vendorID_0234,companyID_0000,1.07
4507010798_00001,319,3,2018-02-19 10:04:00+00:00,2018-02-20 23:33:00+00:00,4507010798,00001,vendorID_0234,companyID_0000,37.48
4508044405_00001,319,6,2018-07-19 20:46:00+00:00,2018-10-26 09:04:00+00:00,4508044405,00001,vendorID_0230,companyID_0000,2364.3
4507038642_00001,319,3,2018-06-22 21:30:00+00:00,2018-06-22 22:31:00+00:00,4507038642,00001,vendorID_0234,companyID_0000,1.02
4508046606_00001,318,3,2018-07-31 21:30:00+00:00,2018-07-31 22:23:00+00:00,4508046606,00001,vendorID_0234,companyID_0000,0.88
4507022751_00001,317,3,2018-04-12 21:30:00+00:00,2018-04-12 22:25:00+00:00,4507022751,00001,vendorID_0234,companyID_0000,0.92
4507004585_00001,316,3,2018-01-22 22:30:00+00:00,2018-01-23 23:24:00+00:00,4507004585,00001,vendorID_0234,companyID_0000,24.9
4508070902_00001,316,3,2018-11-27 22:30:00+00:00,2018-11-27 23:27:00+00:00,4508070902,00001,vendorID_0234,companyID_0000,0.95
4508042355_00001,316,3,2018-07-10 21:30:00+00:00,2018-07-10 22:28:00+00:00,4508042355,00001,vendorID_0234,companyID_0000,0.97
4507001607_00020,316,8,2018-01-09 08:11:00+00:00,2019-01-16 09:08:00+00:00,4507001607,00020,vendorID_0235,companyID_0000,8928.95
4507001878_00001,315,3,2018-01-09 22:30:00+00:00,2018-01-09 23:21:00+00:00,4507001878,00001,vendorID_0234,companyID_0000,0.85
4508054341_00001,314,3,2018-09-07 21:30:00+00:00,2018-09-07 22:28:00+00:00,4508054341,00001,vendorID_0234,companyID_0000,0.97
4507025976_00001,312,6,2018-04-26 20:40:00+00:00,2018-07-05 12:13:00+00:00,4507025976,00001,vendorID_0230,companyID_0000,1671.55
4507019393_00001,311,6,2018-03-27 20:45:00+00:00,2018-06-07 11:13:00+00:00,4507019393,00001,vendorID_0230,companyID_0000,1718.47
4507025269_00001,311,6,2018-04-24 21:16:00+00:00,2018-07-05 12:13:00+00:00,4507025269,00001,vendorID_0230,companyID_0000,1718.95
4507004236_00001,311,3,2018-01-19 22:30:00+00:00,2018-01-19 23:13:00+00:00,4507004236,00001,vendorID_0234,companyID_0000,0.72
4507003351_00001,310,3,2018-01-16 22:30:00+00:00,2018-01-16 23:20:00+00:00,4507003351,00001,vendorID_0234,companyID_0000,0.83
4508074838_00001,307,5,2018-12-18 02:55:00+00:00,2019-01-08 15:38:00+00:00,4508074838,00001,vendorID_0230,companyID_0000,516.72
4507033445_00001,306,3,2018-06-01 21:30:00+00:00,2018-06-01 22:21:00+00:00,4507033445,00001,vendorID_0234,companyID_0000,0.85
4508072277_00001,305,3,2018-12-04 22:30:00+00:00,2018-12-04 23:22:00+00:00,4508072277,00001,vendorID_0234,companyID_0000,0.87
4507030083_00001,305,3,2018-05-17 21:30:00+00:00,2018-05-17 22:21:00+00:00,4507030083,00001,vendorID_0234,companyID_0000,0.85
4507024377_00001,303,3,2018-04-19 21:30:00+00:00,2018-04-19 22:25:00+00:00,4507024377,00001,vendorID_0234,companyID_0000,0.92
4507036799_00001,302,3,2018-06-14 21:30:00+00:00,2018-06-14 22:16:00+00:00,4507036799,00001,vendorID_0234,companyID_0000,0.77
4507006440_00001,302,3,2018-01-30 22:30:00+00:00,2018-01-30 23:17:00+00:00,4507006440,00001,vendorID_0234,companyID_0000,0.78
4507007405_00001,299,3,2018-02-02 22:30:00+00:00,2018-02-02 23:08:00+00:00,4507007405,00001,vendorID_0234,companyID_0000,0.63
4507031531_00001,299,3,2018-05-24 21:30:00+00:00,2018-05-24 22:21:00+00:00,4507031531,00001,vendorID_0234,companyID_0000,0.85
4507012201_00001,299,3,2018-02-23 22:30:00+00:00,2018-02-23 23:19:00+00:00,4507012201,00001,vendorID_0234,companyID_0000,0.82
4507002738_00001,299,3,2018-01-12 22:30:00+00:00,2018-01-12 23:12:00+00:00,4507002738,00001,vendorID_0234,companyID_0000,0.7
4507034691_00001,299,3,2018-06-06 21:30:00+00:00,2018-06-06 22:40:00+00:00,4507034691,00001,vendorID_0234,companyID_0000,1.17
4508051217_00001,299,3,2018-08-24 21:30:00+00:00,2018-08-24 22:19:00+00:00,4508051217,00001,vendorID_0234,companyID_0000,0.82
4507038066_00001,298,3,2018-06-20 21:30:00+00:00,2018-06-21 02:02:00+00:00,4507038066,00001,vendorID_0234,companyID_0000,4.53
4508045720_00001,298,6,2018-07-26 20:41:00+00:00,2018-10-26 09:04:00+00:00,4508045720,00001,vendorID_0230,companyID_0000,2196.38
4507022432_00001,297,3,2018-04-11 21:30:00+00:00,2018-04-11 22:20:00+00:00,4507022432,00001,vendorID_0234,companyID_0000,0.83
4507008887_00001,297,3,2018-02-09 22:30:00+00:00,2018-02-10 03:09:00+00:00,4507008887,00001,vendorID_0234,companyID_0000,4.65
4508047843_00001,296,3,2018-08-07 21:30:00+00:00,2018-08-07 22:24:00+00:00,4508047843,00001,vendorID_0234,companyID_0000,0.9
4507039946_00001,296,3,2018-06-28 21:30:00+00:00,2018-06-28 22:17:00+00:00,4507039946,00001,vendorID_0234,companyID_0000,0.78
4508049747_00001,294,3,2018-08-17 21:30:00+00:00,2018-08-17 22:21:00+00:00,4508049747,00001,vendorID_0234,companyID_0000,0.85
4507019693_00001,294,3,2018-03-28 21:30:00+00:00,2018-03-28 22:20:00+00:00,4507019693,00001,vendorID_0234,companyID_0000,0.83
4508044071_00001,294,3,2018-07-18 21:30:00+00:00,2018-07-18 22:18:00+00:00,4508044071,00001,vendorID_0234,companyID_0000,0.8
4507000449_00010,293,10,2018-01-02 15:20:00+00:00,2019-01-07 12:21:00+00:00,4507000449,00010,vendorID_0213,companyID_0000,8877.02
4507027253_00001,293,3,2018-05-03 21:30:00+00:00,2018-05-03 22:15:00+00:00,4507027253,00001,vendorID_0234,companyID_0000,0.75
4507025638_00001,292,3,2018-04-26 00:02:00+00:00,2018-04-26 00:50:00+00:00,4507025638,00001,vendorID_0472,companyID_0000,0.8
4508045379_00001,292,6,2018-07-25 20:40:00+00:00,2018-10-26 09:04:00+00:00,4508045379,00001,vendorID_0230,companyID_0000,2220.4
4508053634_00001,292,6,2018-09-04 20:40:00+00:00,2018-12-07 08:10:00+00:00,4508053634,00001,vendorID_0230,companyID_0000,2243.5
4508049121_00001,291,6,2018-08-14 20:42:00+00:00,2018-10-18 15:21:00+00:00,4508049121,00001,vendorID_0230,companyID_0000,1554.65
4507019993_00001,291,3,2018-03-30 00:03:00+00:00,2018-03-30 00:41:00+00:00,4507019993,00001,vendorID_0472,companyID_0000,0.63
4507039608_00001,291,6,2018-06-27 20:42:00+00:00,2018-09-06 12:09:00+00:00,4507039608,00001,vendorID_0230,companyID_0000,1695.45
4507032801_00001,291,3,2018-05-30 21:30:00+00:00,2018-05-30 22:18:00+00:00,4507032801,00001,vendorID_0234,companyID_0000,0.8
4507041746_00001,291,3,2018-07-06 21:30:00+00:00,2018-07-06 22:17:00+00:00,4507041746,00001,vendorID_0234,companyID_0000,0.78
4508045075_00001,291,3,2018-07-24 21:30:00+00:00,2018-07-24 22:32:00+00:00,4508045075,00001,vendorID_0234,companyID_0000,1.03
4507020197_00001,291,3,2018-03-30 21:30:00+00:00,2018-03-30 22:19:00+00:00,4507020197,00001,vendorID_0234,companyID_0000,0.82
4507039935_00001,290,6,2018-06-28 20:44:00+00:00,2018-09-06 12:09:00+00:00,4507039935,00001,vendorID_0230,companyID_0000,1671.42
4507039618_00001,290,3,2018-06-27 21:30:00+00:00,2018-06-27 22:16:00+00:00,4507039618,00001,vendorID_0234,companyID_0000,0.77
4508055196_00001,287,3,2018-09-12 21:30:00+00:00,2018-09-12 22:51:00+00:00,4508055196,00001,vendorID_0234,companyID_0000,1.35
4507033094_00001,287,3,2018-05-31 21:30:00+00:00,2018-05-31 22:21:00+00:00,4507033094,00001,vendorID_0234,companyID_0000,0.85
4508056937_00001,287,3,2018-09-20 21:30:00+00:00,2018-09-20 22:20:00+00:00,4508056937,00001,vendorID_0234,companyID_0000,0.83
4507024369_00001,286,6,2018-04-19 20:46:00+00:00,2018-07-05 12:13:00+00:00,4507024369,00001,vendorID_0230,companyID_0000,1839.45
4508073721_00001,286,3,2018-12-11 22:30:00+00:00,2018-12-11 23:27:00+00:00,4508073721,00001,vendorID_0234,companyID_0000,0.95
4507022073_00001,285,6,2018-04-10 20:43:00+00:00,2018-07-05 12:13:00+00:00,4507022073,00001,vendorID_0230,companyID_0000,2055.5
4507011257_00001,284,3,2018-02-20 16:05:00+00:00,2018-02-21 23:05:00+00:00,4507011257,00001,vendorID_0234,companyID_0000,31.0
4507018444_00001,283,6,2018-03-22 21:42:00+00:00,2018-06-07 11:13:00+00:00,4507018444,00001,vendorID_0230,companyID_0000,1837.52
4508056689_00001,283,3,2018-09-19 21:30:00+00:00,2018-09-19 22:26:00+00:00,4508056689,00001,vendorID_0234,companyID_0000,0.93
4507026892_00001,283,3,2018-05-02 21:30:00+00:00,2018-05-02 22:17:00+00:00,4507026892,00001,vendorID_0234,companyID_0000,0.78
4507036074_00001,282,6,2018-06-12 20:45:00+00:00,2018-09-06 12:09:00+00:00,4507036074,00001,vendorID_0230,companyID_0000,2055.4
4507041178_00001,282,3,2018-07-04 21:30:00+00:00,2018-07-04 22:22:00+00:00,4507041178,00001,vendorID_0234,companyID_0000,0.87
4507034321_00001,281,6,2018-06-05 20:44:00+00:00,2018-09-06 12:09:00+00:00,4507034321,00001,vendorID_0230,companyID_0000,2223.42
4507011008_00001,280,3,2018-02-19 22:30:00+00:00,2018-03-01 15:03:00+00:00,4507011008,00001,vendorID_0234,companyID_0000,232.55
4507041506_00001,278,6,2018-07-05 20:42:00+00:00,2018-10-26 09:04:00+00:00,4507041506,00001,vendorID_0230,companyID_0000,2700.37
2000000047_00001,278,17,2018-01-17 13:55:00+00:00,2019-01-10 14:45:00+00:00,2000000047,00001,vendorID_0034,companyID_0000,8592.83
4507018721_00001,278,3,2018-03-23 22:30:00+00:00,2018-03-23 23:09:00+00:00,4507018721,00001,vendorID_0234,companyID_0000,0.65
4507041517_00001,276,3,2018-07-05 21:30:00+00:00,2018-07-05 22:25:00+00:00,4507041517,00001,vendorID_0234,companyID_0000,0.92
4507017080_00001,275,3,2018-03-16 22:30:00+00:00,2018-03-16 23:12:00+00:00,4507017080,00001,vendorID_0234,companyID_0000,0.7
4507019991_00001,275,3,2018-03-29 21:30:00+00:00,2018-03-29 22:10:00+00:00,4507019991,00001,vendorID_0234,companyID_0000,0.67
4507016408_00001,275,3,2018-03-14 22:30:00+00:00,2018-03-14 23:19:00+00:00,4507016408,00001,vendorID_0234,companyID_0000,0.82
4507001313_00001,275,3,2018-01-05 22:30:00+00:00,2018-01-05 23:08:00+00:00,4507001313,00001,vendorID_0234,companyID_0000,0.63
4507027245_00001,275,6,2018-05-03 20:44:00+00:00,2018-08-09 12:30:00+00:00,4507027245,00001,vendorID_0230,companyID_0000,2343.77
4507035134_00001,274,3,2018-06-07 21:30:00+00:00,2018-06-07 22:23:00+00:00,4507035134,00001,vendorID_0234,companyID_0000,0.88
4507030075_00001,273,6,2018-05-17 20:44:00+00:00,2018-08-09 12:30:00+00:00,4507030075,00001,vendorID_0230,companyID_0000,2007.77
4507028501_00001,273,3,2018-05-12 00:06:00+00:00,2018-05-12 00:39:00+00:00,4507028501,00001,vendorID_0472,companyID_0000,0.55
4507038381_00001,273,3,2018-06-21 21:30:00+00:00,2018-06-21 22:17:00+00:00,4507038381,00001,vendorID_0234,companyID_0000,0.78
4507018454_00001,272,3,2018-03-23 01:03:00+00:00,2018-03-23 01:29:00+00:00,4507018454,00001,vendorID_0472,companyID_0000,0.43
4507001901_00010,271,10,2018-01-10 06:32:00+00:00,2019-01-17 13:41:00+00:00,4507001901,00010,vendorID_0665,companyID_0000,8935.15
4507015239_00001,271,3,2018-03-08 22:30:00+00:00,2018-03-08 23:07:00+00:00,4507015239,00001,vendorID_0234,companyID_0000,0.62
4507028497_00001,269,3,2018-05-11 21:30:00+00:00,2018-05-11 22:21:00+00:00,4507028497,00001,vendorID_0234,companyID_0000,0.85
4508052416_00001,268,3,2018-08-30 21:30:00+00:00,2018-08-30 22:19:00+00:00,4508052416,00001,vendorID_0234,companyID_0000,0.82
4507010617_00001,268,3,2018-02-16 22:30:00+00:00,2018-02-16 23:05:00+00:00,4507010617,00001,vendorID_0234,companyID_0000,0.58
4508046712_00001,268,3,2018-08-01 08:08:00+00:00,2018-08-03 00:28:00+00:00,4508046712,00001,vendorID_0472,companyID_0000,40.33
4507001097_00010,268,10,2017-05-31 21:59:00+00:00,2019-01-04 22:59:00+00:00,4507001097,00010,vendorID_0467,companyID_0000,13993.0
4507000709_00020,266,9,2018-01-03 14:04:00+00:00,2019-01-14 06:21:00+00:00,4507000709,00020,vendorID_0234,companyID_0000,9016.28
4507009615_00001,266,3,2018-02-13 22:30:00+00:00,2018-02-13 23:08:00+00:00,4507009615,00001,vendorID_0234,companyID_0000,0.63
4507030341_00001,265,3,2018-05-19 00:10:00+00:00,2018-05-19 00:48:00+00:00,4507030341,00001,vendorID_0472,companyID_0000,0.63
4508073065_00001,265,3,2018-12-07 22:30:00+00:00,2018-12-07 23:09:00+00:00,4508073065,00001,vendorID_0234,companyID_0000,0.65
4507014856_00001,264,3,2018-03-07 22:30:00+00:00,2018-03-07 23:11:00+00:00,4507014856,00001,vendorID_0234,companyID_0000,0.68
4508050919_00001,264,3,2018-08-23 21:30:00+00:00,2018-08-23 22:15:00+00:00,4508050919,00001,vendorID_0234,companyID_0000,0.75
4507032791_00001,264,6,2018-05-30 20:46:00+00:00,2018-08-09 12:30:00+00:00,4507032791,00001,vendorID_0230,companyID_0000,1695.73
4508042347_00001,262,6,2018-07-10 20:39:00+00:00,2018-10-26 09:04:00+00:00,4508042347,00001,vendorID_0230,companyID_0000,2580.42
4507018452_00001,261,3,2018-03-22 22:30:00+00:00,2018-03-22 23:00:00+00:00,4507018452,00001,vendorID_0234,companyID_0000,0.5
4508048612_00001,261,3,2018-08-10 22:46:00+00:00,2018-08-10 23:21:00+00:00,4508048612,00001,vendorID_0234,companyID_0000,0.58
4507031499_00001,261,6,2018-05-24 20:43:00+00:00,2018-08-09 12:30:00+00:00,4507031499,00001,vendorID_0230,companyID_0000,1839.78
4507026079_00001,260,6,2018-04-27 20:46:00+00:00,2018-07-05 12:13:00+00:00,4507026079,00001,vendorID_0230,companyID_0000,1647.45
4507032602_00001,259,3,2018-05-30 07:59:00+00:00,2018-06-02 00:27:00+00:00,4507032602,00001,vendorID_0472,companyID_0000,64.47
4508047254_00001,259,3,2018-08-03 21:30:00+00:00,2018-08-03 22:07:00+00:00,4508047254,00001,vendorID_0234,companyID_0000,0.62
4507000445_00010,258,7,2018-01-02 14:51:00+00:00,2019-01-17 13:41:00+00:00,4507000445,00010,vendorID_0210,companyID_0000,9118.83
4508071252_00001,258,3,2018-11-28 22:30:00+00:00,2018-11-28 23:16:00+00:00,4508071252,00001,vendorID_0234,companyID_0000,0.77
4507028361_00001,255,6,2018-05-10 20:41:00+00:00,2018-08-09 12:30:00+00:00,4507028361,00001,vendorID_0230,companyID_0000,2175.82
4507003964_00010,254,10,2018-01-19 04:42:00+00:00,2019-01-17 13:41:00+00:00,4507003964,00010,vendorID_0877,companyID_0000,8720.98
4507040903_00001,254,6,2018-07-03 20:44:00+00:00,2018-10-26 09:04:00+00:00,4507040903,00001,vendorID_0230,companyID_0000,2748.33
4507001607_00050,254,9,2018-01-09 08:11:00+00:00,2019-01-14 10:29:00+00:00,4507001607,00050,vendorID_0235,companyID_0000,8882.3
4507016772_00001,253,3,2018-03-15 22:30:00+00:00,2018-03-15 23:03:00+00:00,4507016772,00001,vendorID_0234,companyID_0000,0.55
4507037766_00001,253,6,2018-06-19 20:43:00+00:00,2018-09-06 12:09:00+00:00,4507037766,00001,vendorID_0230,companyID_0000,1887.43
4507000561_00010,253,10,2017-12-19 22:59:00+00:00,2019-01-03 15:12:00+00:00,4507000561,00010,vendorID_0265,companyID_0000,9112.22
4508050671_00001,252,3,2018-08-22 21:30:00+00:00,2018-08-22 22:18:00+00:00,4508050671,00001,vendorID_0234,companyID_0000,0.8
4507013407_00001,251,3,2018-03-01 22:30:00+00:00,2018-03-01 23:08:00+00:00,4507013407,00001,vendorID_0234,companyID_0000,0.63
4507000879_00110,251,11,2017-10-23 21:59:00+00:00,2019-01-17 15:48:00+00:00,4507000879,00110,vendorID_0388,companyID_0000,10817.82
4508045065_00001,250,6,2018-07-24 20:44:00+00:00,2018-10-26 09:04:00+00:00,4508045065,00001,vendorID_0230,companyID_0000,2244.33
4507024605_00001,250,3,2018-04-21 00:06:00+00:00,2018-04-21 00:43:00+00:00,4507024605,00001,vendorID_0472,companyID_0000,0.62
2000000016_00001,250,18,2018-01-07 22:59:00+00:00,2019-01-10 14:45:00+00:00,2000000016,00001,vendorID_0015,companyID_0000,8823.77
4507005796_00001,250,3,2018-01-26 22:30:00+00:00,2018-01-26 23:02:00+00:00,4507005796,00001,vendorID_0234,companyID_0000,0.53
4507029291_00001,250,6,2018-05-15 20:40:00+00:00,2018-08-09 12:30:00+00:00,4507029291,00001,vendorID_0230,companyID_0000,2055.83
4508045987_00001,250,3,2018-07-27 21:30:00+00:00,2018-07-27 22:05:00+00:00,4508045987,00001,vendorID_0234,companyID_0000,0.58
4507012810_00001,249,6,2018-02-27 21:40:00+00:00,2018-05-09 12:12:00+00:00,4507012810,00001,vendorID_0230,companyID_0000,1694.53
4507018131_00001,249,3,2018-03-21 22:30:00+00:00,2018-03-21 23:00:00+00:00,4507018131,00001,vendorID_0234,companyID_0000,0.5
4507038055_00001,248,6,2018-06-20 20:42:00+00:00,2018-09-06 12:09:00+00:00,4507038055,00001,vendorID_0230,companyID_0000,1863.45
4507027963_00001,248,6,2018-05-08 20:41:00+00:00,2018-08-09 12:30:00+00:00,4507027963,00001,vendorID_0230,companyID_0000,2223.82
4508058334_00001,247,6,2018-09-27 20:45:00+00:00,2018-12-07 08:10:00+00:00,4508058334,00001,vendorID_0230,companyID_0000,1691.42
4508052100_00001,247,3,2018-08-29 21:30:00+00:00,2018-08-29 22:06:00+00:00,4508052100,00001,vendorID_0234,companyID_0000,0.6
