case:concept:name,event_count,first_event,last_event,unique_activity_count,case_duration_hours
2000000016_00001,250,2018-01-07 22:59:00+00:00,2019-01-10 14:45:00+00:00,18,8823.77
2000000017_00001,120,2018-01-12 08:52:00+00:00,2019-01-17 10:59:00+00:00,18,8882.12
2000000018_00001,180,2018-01-12 08:52:00+00:00,2019-01-04 22:59:00+00:00,17,8582.12
2000000019_00001,105,2018-01-12 08:52:00+00:00,2019-01-17 10:59:00+00:00,17,8882.12
2000000020_00001,81,2018-01-12 08:52:00+00:00,2019-01-17 10:59:00+00:00,16,8882.12
2000000021_00001,61,2018-01-12 08:52:00+00:00,2018-11-01 15:27:00+00:00,15,7038.58
2000000022_00001,131,2018-01-12 08:52:00+00:00,2019-01-17 10:59:00+00:00,16,8882.12
2000000023_00001,14,2018-01-12 11:58:00+00:00,2019-01-17 10:59:00+00:00,13,8879.02
2000000024_00001,42,2018-01-15 07:47:00+00:00,2018-12-13 13:09:00+00:00,13,7973.37
2000000025_00001,13,2018-01-15 07:46:00+00:00,2018-04-05 13:49:00+00:00,13,1926.05
2000000026_00001,12,2018-01-15 09:13:00+00:00,2018-03-08 12:20:00+00:00,12,1251.12
2000000026_00002,12,2018-01-15 09:13:00+00:00,2018-03-08 12:20:00+00:00,12,1251.12
2000000027_00001,36,2018-01-15 11:52:00+00:00,2019-01-10 14:45:00+00:00,13,8642.88
2000000028_00001,44,2018-01-15 11:52:00+00:00,2018-10-30 11:19:00+00:00,15,6911.45
2000000029_00001,12,2018-01-15 11:54:00+00:00,2018-03-08 12:21:00+00:00,12,1248.45
2000000029_00002,12,2018-01-15 11:54:00+00:00,2018-03-08 12:21:00+00:00,12,1248.45
2000000029_00003,12,2018-01-15 11:54:00+00:00,2018-03-08 12:21:00+00:00,12,1248.45
2000000030_00001,18,2018-01-15 13:51:00+00:00,2018-08-02 14:06:00+00:00,14,4776.25
2000000031_00001,12,2018-01-15 13:51:00+00:00,2018-03-29 13:06:00+00:00,12,1751.25
2000000032_00001,12,2018-01-15 14:53:00+00:00,2018-03-08 12:21:00+00:00,12,1245.47
2000000033_00001,13,2018-01-15 19:18:00+00:00,2018-06-07 11:12:00+00:00,13,3423.9
2000000034_00001,63,2018-01-16 09:23:00+00:00,2018-11-29 15:16:00+00:00,15,7613.88
2000000035_00001,15,2018-01-16 12:10:00+00:00,2019-01-17 10:59:00+00:00,14,8782.82
2000000036_00001,15,2018-01-16 12:33:00+00:00,2019-01-17 10:59:00+00:00,14,8782.43
2000000037_00001,12,2018-01-16 13:39:00+00:00,2018-03-29 13:06:00+00:00,12,1727.45
2000000037_00002,12,2018-01-16 13:39:00+00:00,2018-03-29 13:06:00+00:00,12,1727.45
2000000037_00003,12,2018-01-16 13:39:00+00:00,2018-03-29 13:06:00+00:00,12,1727.45
2000000038_00001,12,2018-01-16 13:39:00+00:00,2018-03-29 13:07:00+00:00,12,1727.47
2000000039_00001,12,2018-01-16 15:40:00+00:00,2018-03-08 12:20:00+00:00,12,1220.67
2000000039_00002,12,2018-01-16 15:40:00+00:00,2018-03-08 12:20:00+00:00,12,1220.67
2000000040_00001,32,2018-01-16 15:41:00+00:00,2019-01-09 14:08:00+00:00,14,8590.45
2000000041_00001,13,2018-01-16 15:41:00+00:00,2018-02-08 13:44:00+00:00,13,550.05
2000000042_00001,13,2018-01-16 15:41:00+00:00,2018-02-08 13:44:00+00:00,13,550.05
2000000043_00001,8,2018-01-17 06:12:00+00:00,2018-01-17 07:12:00+00:00,8,1.0
2000000044_00001,12,2018-01-17 06:13:00+00:00,2018-03-29 13:06:00+00:00,12,1710.88
2000000045_00001,12,2018-01-17 08:35:00+00:00,2018-03-08 12:21:00+00:00,12,1203.77
2000000045_00002,12,2018-01-17 08:35:00+00:00,2018-03-08 12:21:00+00:00,12,1203.77
2000000046_00001,13,2018-01-17 09:54:00+00:00,2018-02-08 13:44:00+00:00,13,531.83
2000000047_00001,278,2018-01-17 13:55:00+00:00,2019-01-10 14:45:00+00:00,17,8592.83
2000000048_00001,13,2018-01-17 14:36:00+00:00,2018-03-15 13:13:00+00:00,13,1366.62
2000000049_00001,12,2018-01-18 12:29:00+00:00,2018-05-09 12:10:00+00:00,12,2663.68
2000000050_00001,12,2018-01-18 13:11:00+00:00,2018-04-05 13:49:00+00:00,12,1848.63
2000000051_00001,12,2018-01-18 13:23:00+00:00,2018-03-08 12:20:00+00:00,12,1174.95
2000000052_00001,11,2018-01-18 15:42:00+00:00,2018-12-03 01:28:00+00:00,11,7641.77
2000000053_00001,18,2018-01-19 08:21:00+00:00,2018-01-29 08:18:00+00:00,11,239.95
2000000054_00001,13,2018-01-19 08:21:00+00:00,2018-03-29 13:06:00+00:00,13,1660.75
2000000054_00002,12,2018-01-19 08:21:00+00:00,2018-03-29 13:06:00+00:00,12,1660.75
2000000054_00003,13,2018-01-19 08:21:00+00:00,2018-03-29 13:06:00+00:00,13,1660.75
2000000054_00004,13,2018-01-19 08:21:00+00:00,2018-03-29 13:06:00+00:00,13,1660.75
2000000055_00001,69,2018-01-19 10:48:00+00:00,2019-01-10 14:46:00+00:00,13,8547.97
2000000056_00001,62,2018-01-19 10:48:00+00:00,2019-01-03 05:38:00+00:00,13,8370.83
2000000057_00001,76,2018-01-19 18:15:00+00:00,2019-01-10 14:46:00+00:00,15,8540.52
2000000058_00001,85,2018-01-19 18:16:00+00:00,2019-01-10 14:46:00+00:00,15,8540.5
2000000059_00001,77,2018-01-19 18:14:00+00:00,2019-01-10 14:46:00+00:00,15,8540.53
2000000060_00001,85,2018-01-19 18:15:00+00:00,2019-01-10 14:46:00+00:00,15,8540.52
2000000061_00001,77,2018-01-19 18:15:00+00:00,2019-01-10 14:46:00+00:00,15,8540.52
2000000062_00001,9,2018-01-19 18:15:00+00:00,2018-07-06 12:10:00+00:00,8,4025.92
2000000063_00001,9,2018-01-19 18:16:00+00:00,2018-07-06 12:10:00+00:00,8,4025.9
2000000064_00001,79,2018-01-19 18:16:00+00:00,2019-01-10 14:46:00+00:00,15,8540.5
2000000065_00001,77,2018-01-19 18:17:00+00:00,2019-01-10 14:46:00+00:00,15,8540.48
2000000066_00001,77,2018-01-19 18:17:00+00:00,2019-01-10 14:46:00+00:00,15,8540.48
2000000067_00001,69,2018-01-19 18:17:00+00:00,2019-01-10 14:46:00+00:00,13,8540.48
2000000068_00001,85,2018-01-19 18:16:00+00:00,2019-01-10 14:46:00+00:00,15,8540.5
2000000069_00001,96,2018-01-19 18:16:00+00:00,2019-01-10 14:46:00+00:00,15,8540.5
2000000070_00001,67,2018-01-19 18:16:00+00:00,2019-01-10 14:46:00+00:00,15,8540.5
2000000071_00001,57,2018-01-19 18:17:00+00:00,2018-12-07 08:09:00+00:00,15,7717.87
2000000072_00001,77,2018-01-19 18:17:00+00:00,2019-01-10 14:46:00+00:00,15,8540.48
2000000073_00001,12,2018-01-22 06:34:00+00:00,2018-03-29 13:06:00+00:00,12,1590.53
2000000074_00001,12,2018-01-22 09:14:00+00:00,2018-03-08 12:20:00+00:00,12,1083.1
2000000075_00001,12,2018-01-22 09:14:00+00:00,2018-03-29 13:07:00+00:00,12,1587.88
2000000076_00001,12,2018-01-22 09:14:00+00:00,2018-03-08 12:20:00+00:00,12,1083.1
2000000076_00002,12,2018-01-22 09:14:00+00:00,2018-03-08 12:20:00+00:00,12,1083.1
2000000076_00003,8,2018-01-22 09:14:00+00:00,2018-01-22 10:14:00+00:00,8,1.0
2000000077_00001,12,2018-01-22 09:14:00+00:00,2018-04-05 13:48:00+00:00,12,1756.57
2000000077_00002,8,2018-01-22 09:14:00+00:00,2018-01-22 10:14:00+00:00,8,1.0
2000000078_00001,19,2018-01-22 09:55:00+00:00,2018-07-06 12:10:00+00:00,13,3962.25
2000000079_00001,12,2018-01-23 11:33:00+00:00,2018-03-29 13:06:00+00:00,12,1561.55
2000000079_00002,12,2018-01-23 11:33:00+00:00,2018-03-29 13:06:00+00:00,12,1561.55
2000000079_00003,12,2018-01-23 11:33:00+00:00,2018-03-29 13:06:00+00:00,12,1561.55
2000000080_00001,12,2018-01-23 13:24:00+00:00,2018-03-22 12:30:00+00:00,12,1391.1
2000000080_00002,8,2018-01-23 13:24:00+00:00,2018-01-23 14:24:00+00:00,8,1.0
2000000081_00001,29,2018-01-23 13:49:00+00:00,2019-01-08 12:35:00+00:00,13,8398.77
2000000082_00001,12,2018-01-24 06:13:00+00:00,2018-03-08 12:21:00+00:00,12,1038.13
2000000082_00002,12,2018-01-24 06:13:00+00:00,2018-03-08 12:21:00+00:00,12,1038.13
2000000083_00001,12,2018-01-24 06:13:00+00:00,2018-03-29 13:06:00+00:00,12,1542.88
2000000083_00002,12,2018-01-24 06:13:00+00:00,2018-03-29 13:06:00+00:00,12,1542.88
2000000083_00003,12,2018-01-24 06:13:00+00:00,2018-03-29 13:06:00+00:00,12,1542.88
2000000084_00001,12,2017-08-31 21:59:00+00:00,2018-02-23 11:14:00+00:00,12,4213.25
2000000085_00001,12,2018-01-25 10:38:00+00:00,2018-03-29 13:06:00+00:00,12,1514.47
2000000086_00001,12,2018-01-25 10:50:00+00:00,2018-03-08 12:21:00+00:00,12,1009.52
2000000086_00002,12,2018-01-25 10:50:00+00:00,2018-03-08 12:21:00+00:00,12,1009.52
2000000087_00001,13,2018-01-25 13:03:00+00:00,2018-04-05 13:51:00+00:00,13,1680.8
2000000088_00001,20,2018-01-25 13:31:00+00:00,2018-07-06 12:10:00+00:00,11,3886.65
2000000089_00001,13,2018-01-25 14:33:00+00:00,2018-04-26 09:16:00+00:00,13,2178.72
2000000090_00001,12,2018-01-25 15:11:00+00:00,2018-02-22 15:17:00+00:00,12,672.1
2000000091_00001,13,2018-01-26 06:11:00+00:00,2018-03-29 13:10:00+00:00,13,1494.98
2000000092_00001,10,2018-01-26 10:50:00+00:00,2018-08-20 00:21:00+00:00,10,4933.52
2000000093_00001,13,2017-12-31 22:59:00+00:00,2018-04-12 12:07:00+00:00,13,2437.13
2000000094_00001,12,2018-01-26 11:33:00+00:00,2018-03-29 13:06:00+00:00,12,1489.55
2000000095_00001,12,2018-01-26 13:14:00+00:00,2018-03-29 13:06:00+00:00,12,1487.87
2000000096_00001,13,2018-01-26 14:30:00+00:00,2018-03-29 13:06:00+00:00,13,1486.6
2000000097_00001,23,2001-02-23 22:59:00+00:00,2019-01-17 11:00:00+00:00,15,156876.02
2000000098_00001,12,2018-01-29 07:54:00+00:00,2018-02-22 15:17:00+00:00,12,583.38
2000000098_00002,12,2018-01-29 07:54:00+00:00,2018-02-22 15:17:00+00:00,12,583.38
2000000098_00003,12,2018-01-29 07:54:00+00:00,2018-02-22 15:17:00+00:00,12,583.38
2000000099_00001,12,2018-01-29 08:57:00+00:00,2018-03-08 12:21:00+00:00,12,915.4
2000000100_00001,464,2017-01-31 22:59:00+00:00,2019-04-30 21:59:00+00:00,20,19655.0
2000000101_00001,25,2018-01-29 09:58:00+00:00,2018-04-26 09:16:00+00:00,15,2087.3
2000000102_00001,64,2018-01-29 10:52:00+00:00,2018-10-26 09:03:00+00:00,15,6478.18
2000000103_00001,12,2018-01-29 12:35:00+00:00,2018-03-29 13:07:00+00:00,12,1416.53
2000000104_00001,12,2018-01-29 13:16:00+00:00,2018-04-05 13:48:00+00:00,12,1584.53
2000000105_00001,8,2018-01-29 13:27:00+00:00,2018-01-29 14:27:00+00:00,8,1.0
2000000106_00001,20,2018-01-29 22:59:00+00:00,2018-03-08 12:23:00+00:00,14,901.4
2000000107_00001,15,2018-01-30 09:08:00+00:00,2019-01-17 11:00:00+00:00,14,8449.87
2000000108_00001,15,2018-01-30 09:23:00+00:00,2019-01-17 11:00:00+00:00,14,8449.62
2000000109_00001,13,2016-05-02 21:59:00+00:00,2018-02-08 13:44:00+00:00,13,15519.75
2000000110_00001,12,2018-01-30 11:13:00+00:00,2018-04-26 09:15:00+00:00,12,2062.03
2000000111_00001,15,2018-01-30 12:17:00+00:00,2019-01-17 11:00:00+00:00,14,8446.72
2000000112_00001,12,2018-01-30 12:49:00+00:00,2018-04-05 13:48:00+00:00,12,1560.98
2000000113_00001,12,2018-01-30 12:54:00+00:00,2018-05-24 11:33:00+00:00,12,2734.65
2000000114_00001,48,2018-01-30 13:41:00+00:00,2019-01-17 11:00:00+00:00,16,8445.32
2000000115_00001,46,2017-12-20 22:59:00+00:00,2019-01-17 11:00:00+00:00,18,9420.02
2000000116_00001,18,2018-01-31 06:15:00+00:00,2018-10-26 09:03:00+00:00,15,6434.8
2000000117_00001,12,2018-01-31 08:40:00+00:00,2018-04-05 13:49:00+00:00,12,1541.15
2000000117_00002,12,2018-01-31 08:40:00+00:00,2018-04-05 13:49:00+00:00,12,1541.15
2000000117_00003,12,2018-01-31 08:40:00+00:00,2018-04-05 13:49:00+00:00,12,1541.15
2000000117_00004,12,2018-01-31 08:40:00+00:00,2018-04-05 13:49:00+00:00,12,1541.15
2000000117_00005,12,2018-01-31 08:40:00+00:00,2018-04-05 13:49:00+00:00,12,1541.15
2000000117_00006,12,2018-01-31 08:40:00+00:00,2018-04-05 13:49:00+00:00,12,1541.15
2000000118_00001,10,2018-01-31 11:06:00+00:00,2018-08-20 00:21:00+00:00,10,4813.25
2000000119_00001,8,2018-01-31 12:12:00+00:00,2018-01-31 13:13:00+00:00,8,1.02
2000000120_00001,18,2018-01-31 13:03:00+00:00,2018-04-26 09:15:00+00:00,13,2036.2
2000000121_00001,12,2018-02-01 06:52:00+00:00,2018-04-05 13:49:00+00:00,12,1518.95
2000000121_00002,12,2018-02-01 06:52:00+00:00,2018-04-05 13:49:00+00:00,12,1518.95
2000000121_00003,12,2018-02-01 06:52:00+00:00,2018-04-05 13:49:00+00:00,12,1518.95
2000000121_00004,12,2018-02-01 06:52:00+00:00,2018-04-05 13:49:00+00:00,12,1518.95
2000000121_00005,12,2018-02-01 06:52:00+00:00,2018-04-05 13:49:00+00:00,12,1518.95
2000000121_00006,12,2018-02-01 06:52:00+00:00,2018-04-05 13:49:00+00:00,12,1518.95
2000000121_00007,12,2018-02-01 06:52:00+00:00,2018-04-05 13:49:00+00:00,12,1518.95
2000000121_00008,12,2018-02-01 06:52:00+00:00,2018-04-05 13:49:00+00:00,12,1518.95
2000000121_00009,12,2018-02-01 06:52:00+00:00,2018-04-05 13:49:00+00:00,12,1518.95
2000000121_00010,12,2018-02-01 06:52:00+00:00,2018-04-05 13:49:00+00:00,12,1518.95
2000000121_00011,12,2018-02-01 06:52:00+00:00,2018-04-05 13:49:00+00:00,12,1518.95
2000000122_00001,31,2018-02-01 09:13:00+00:00,2018-07-26 16:09:00+00:00,15,4206.93
2000000123_00001,12,2018-02-01 09:50:00+00:00,2018-04-26 09:12:00+00:00,12,2015.37
2000000123_00002,12,2018-02-01 09:50:00+00:00,2018-05-24 11:32:00+00:00,12,2689.7
2000000123_00003,12,2018-02-01 09:50:00+00:00,2018-04-26 09:12:00+00:00,12,2015.37
2000000123_00004,12,2018-02-01 09:50:00+00:00,2018-04-26 09:12:00+00:00,12,2015.37
2000000123_00005,12,2018-02-01 09:50:00+00:00,2018-04-26 09:12:00+00:00,12,2015.37
2000000124_00001,12,2018-02-01 09:50:00+00:00,2018-04-05 13:48:00+00:00,12,1515.97
2000000124_00002,12,2018-02-01 09:50:00+00:00,2018-04-05 13:48:00+00:00,12,1515.97
2000000125_00001,10,2018-02-01 09:50:00+00:00,2018-08-20 00:21:00+00:00,10,4790.52
2000000125_00002,10,2018-02-01 09:50:00+00:00,2018-08-20 00:21:00+00:00,10,4790.52
2000000126_00001,12,2018-02-01 10:14:00+00:00,2018-03-15 13:13:00+00:00,12,1010.98
2000000126_00002,12,2018-02-01 10:14:00+00:00,2018-03-15 13:13:00+00:00,12,1010.98
2000000126_00003,12,2018-02-01 10:14:00+00:00,2018-03-15 13:13:00+00:00,12,1010.98
2000000127_00001,12,2018-02-01 15:39:00+00:00,2018-04-26 09:12:00+00:00,12,2009.55
2000000128_00001,21,2018-02-02 13:24:00+00:00,2018-04-05 13:48:00+00:00,15,1488.4
2000000129_00001,13,2018-02-05 07:49:00+00:00,2018-03-29 13:11:00+00:00,13,1253.37
2000000130_00001,12,2018-02-06 08:46:00+00:00,2018-04-26 09:12:00+00:00,12,1896.43
2000000130_00002,12,2018-02-06 08:46:00+00:00,2018-04-26 09:12:00+00:00,12,1896.43
2000000131_00001,17,2018-02-06 12:55:00+00:00,2018-03-15 13:13:00+00:00,14,888.3
2000000131_00002,16,2018-02-06 12:55:00+00:00,2018-03-15 13:13:00+00:00,14,888.3
2000000132_00001,13,2018-02-06 13:14:00+00:00,2018-03-15 13:13:00+00:00,13,887.98
2000000133_00001,12,2018-02-06 15:36:00+00:00,2018-05-24 11:32:00+00:00,12,2563.93
2000000134_00001,12,2018-02-07 07:50:00+00:00,2018-04-05 13:51:00+00:00,12,1374.02
2000000135_00001,12,2018-02-07 07:50:00+00:00,2018-06-28 12:04:00+00:00,12,3388.23
2000000135_00002,12,2018-02-07 07:50:00+00:00,2018-06-28 12:04:00+00:00,12,3388.23
2000000136_00001,9,2018-02-07 08:36:00+00:00,2018-09-26 12:50:00+00:00,9,5548.23
2000000137_00001,12,2018-02-07 08:37:00+00:00,2018-04-05 13:48:00+00:00,12,1373.18
2000000138_00001,12,2018-02-07 09:21:00+00:00,2018-04-19 12:47:00+00:00,12,1707.43
2000000139_00001,12,2018-02-07 12:10:00+00:00,2018-04-26 09:11:00+00:00,12,1869.02
2000000140_00001,12,2018-02-08 07:11:00+00:00,2018-03-29 13:08:00+00:00,12,1181.95
2000000141_00001,12,2018-02-08 07:56:00+00:00,2018-04-26 09:12:00+00:00,12,1849.27
2000000141_00002,12,2018-02-08 07:56:00+00:00,2018-04-26 09:12:00+00:00,12,1849.27
2000000141_00003,12,2018-02-08 07:56:00+00:00,2018-04-26 09:12:00+00:00,12,1849.27
2000000142_00001,10,2018-02-08 07:56:00+00:00,2018-08-20 00:21:00+00:00,10,4624.42
2000000142_00002,10,2018-02-08 07:56:00+00:00,2018-08-20 00:21:00+00:00,10,4624.42
2000000142_00003,10,2018-02-08 07:56:00+00:00,2018-08-20 00:21:00+00:00,10,4624.42
2000000143_00001,13,2018-02-08 11:10:00+00:00,2018-05-09 12:10:00+00:00,13,2161.0
2000000144_00001,13,2018-02-08 13:20:00+00:00,2018-04-26 09:12:00+00:00,13,1843.87
2000000144_00002,12,2018-02-08 13:20:00+00:00,2018-04-26 09:12:00+00:00,12,1843.87
2000000145_00001,13,2018-02-08 13:21:00+00:00,2018-04-26 09:12:00+00:00,13,1843.85
2000000146_00001,29,2018-02-08 13:28:00+00:00,2018-04-05 13:50:00+00:00,15,1344.37
2000000147_00001,13,2018-02-08 13:19:00+00:00,2018-04-05 13:49:00+00:00,13,1344.5
2000000148_00001,12,2018-02-08 13:22:00+00:00,2018-04-26 09:12:00+00:00,12,1843.83
2000000149_00001,12,2018-02-08 13:22:00+00:00,2018-04-05 13:48:00+00:00,12,1344.43
2000000150_00001,12,2018-02-08 14:02:00+00:00,2018-04-05 13:49:00+00:00,12,1343.78
2000000150_00002,12,2018-02-08 14:02:00+00:00,2018-04-05 13:49:00+00:00,12,1343.78
2000000150_00003,12,2018-02-08 14:02:00+00:00,2018-04-05 13:49:00+00:00,12,1343.78
2000000150_00004,12,2018-02-08 14:02:00+00:00,2018-04-05 13:49:00+00:00,12,1343.78
2000000150_00005,12,2018-02-08 14:02:00+00:00,2018-04-05 13:49:00+00:00,12,1343.78
2000000150_00006,12,2018-02-08 14:02:00+00:00,2018-04-05 13:49:00+00:00,12,1343.78
2000000150_00007,12,2018-02-08 14:02:00+00:00,2018-04-05 13:49:00+00:00,12,1343.78
2000000150_00008,12,2018-02-08 14:02:00+00:00,2018-04-05 13:49:00+00:00,12,1343.78
2000000150_00009,12,2018-02-08 14:02:00+00:00,2018-04-05 13:49:00+00:00,12,1343.78
2000000151_00001,12,2018-02-08 15:12:00+00:00,2018-04-05 13:50:00+00:00,12,1342.63
2000000152_00001,12,2018-02-09 07:56:00+00:00,2018-04-05 13:48:00+00:00,12,1325.87
2000000152_00002,12,2018-02-09 07:56:00+00:00,2018-04-05 13:48:00+00:00,12,1325.87
2000000152_00003,12,2018-02-09 07:56:00+00:00,2018-04-05 13:48:00+00:00,12,1325.87
2000000152_00004,12,2018-02-09 07:56:00+00:00,2018-04-05 13:48:00+00:00,12,1325.87
2000000153_00001,10,2018-02-09 08:48:00+00:00,2018-09-06 00:23:00+00:00,10,5007.58
2000000153_00002,10,2018-02-09 08:48:00+00:00,2018-09-06 00:23:00+00:00,10,5007.58
2000000153_00003,10,2018-02-09 08:48:00+00:00,2018-09-06 00:23:00+00:00,10,5007.58
2000000153_00004,10,2018-02-09 08:48:00+00:00,2018-09-06 00:23:00+00:00,10,5007.58
2000000153_00005,10,2018-02-09 08:48:00+00:00,2018-09-06 00:23:00+00:00,10,5007.58
2000000153_00006,10,2018-02-09 08:48:00+00:00,2018-09-06 00:23:00+00:00,10,5007.58
2000000153_00007,10,2018-02-09 08:48:00+00:00,2018-09-06 00:23:00+00:00,10,5007.58
2000000153_00008,10,2018-02-09 08:48:00+00:00,2018-09-06 00:23:00+00:00,10,5007.58
2000000153_00009,10,2018-02-09 08:48:00+00:00,2018-09-06 00:23:00+00:00,10,5007.58
2000000153_00010,10,2018-02-09 08:48:00+00:00,2018-09-06 00:23:00+00:00,10,5007.58
2000000154_00001,13,2018-02-12 08:10:00+00:00,2018-04-05 13:51:00+00:00,13,1253.68
2000000155_00001,12,2018-02-12 10:14:00+00:00,2018-04-05 13:48:00+00:00,12,1251.57
2000000156_00001,13,2018-02-12 12:07:00+00:00,2018-03-08 12:23:00+00:00,13,576.27
2000000157_00001,26,2017-03-13 22:59:00+00:00,2018-07-20 14:36:00+00:00,17,11847.62
2000000157_00002,26,2017-04-27 21:59:00+00:00,2018-07-20 12:04:00+00:00,17,10766.08
2000000157_00003,26,2017-05-11 21:59:00+00:00,2018-07-20 12:45:00+00:00,17,10430.77
2000000157_00004,22,2017-06-05 21:59:00+00:00,2018-04-26 09:15:00+00:00,15,7787.27
2000000158_00001,15,2018-02-12 16:25:00+00:00,2019-01-17 11:01:00+00:00,14,8130.6
2000000159_00001,12,2018-02-13 10:45:00+00:00,2018-04-05 13:48:00+00:00,12,1227.05
2000000160_00001,12,2018-02-14 09:37:00+00:00,2018-04-05 13:49:00+00:00,12,1204.2
2000000160_00002,12,2018-02-14 09:37:00+00:00,2018-04-05 13:49:00+00:00,12,1204.2
2000000161_00001,39,2018-02-14 10:29:00+00:00,2018-08-01 14:14:00+00:00,17,4035.75
2000000162_00001,12,2018-02-14 10:33:00+00:00,2018-04-05 13:49:00+00:00,12,1203.27
2000000162_00002,12,2018-02-14 10:33:00+00:00,2018-04-05 13:49:00+00:00,12,1203.27
2000000163_00001,13,2018-02-14 13:31:00+00:00,2018-08-02 14:06:00+00:00,13,4056.58
2000000164_00001,12,2018-02-14 13:59:00+00:00,2018-05-24 11:36:00+00:00,12,2373.62
2000000165_00001,12,2018-02-15 11:53:00+00:00,2018-03-29 13:08:00+00:00,12,1009.25
2000000166_00001,12,2018-02-15 11:53:00+00:00,2018-03-29 13:08:00+00:00,12,1009.25
2000000167_00001,12,2018-02-15 12:10:00+00:00,2018-04-05 13:48:00+00:00,12,1177.63
2000000167_00002,12,2018-02-15 12:10:00+00:00,2018-04-05 13:48:00+00:00,12,1177.63
2000000167_00003,12,2018-02-15 12:10:00+00:00,2018-04-05 13:48:00+00:00,12,1177.63
2000000168_00001,12,2018-02-16 10:53:00+00:00,2018-04-26 09:11:00+00:00,12,1654.3
2000000168_00002,12,2018-02-16 10:53:00+00:00,2018-04-26 09:11:00+00:00,12,1654.3
2000000169_00001,12,2018-02-16 10:53:00+00:00,2018-04-05 13:49:00+00:00,12,1154.93
2000000169_00002,12,2018-02-16 10:53:00+00:00,2018-04-05 13:49:00+00:00,12,1154.93
2000000169_00003,12,2018-02-16 10:53:00+00:00,2018-04-05 13:49:00+00:00,12,1154.93
2000000170_00001,13,2018-02-16 10:53:00+00:00,2018-09-06 12:06:00+00:00,13,4849.22
2000000171_00001,14,2018-02-16 11:17:00+00:00,2019-01-17 11:01:00+00:00,13,8039.73
2000000172_00001,16,2018-02-16 12:34:00+00:00,2018-08-03 09:13:00+00:00,14,4028.65
2000000172_00002,16,2018-02-16 12:34:00+00:00,2018-08-03 09:13:00+00:00,14,4028.65
2000000173_00001,12,2018-02-16 12:34:00+00:00,2018-04-05 13:49:00+00:00,12,1153.25
2000000173_00002,12,2018-02-16 12:34:00+00:00,2018-04-05 13:49:00+00:00,12,1153.25
2000000173_00003,12,2018-02-16 12:34:00+00:00,2018-04-05 13:49:00+00:00,12,1153.25
2000000173_00004,12,2018-02-16 12:34:00+00:00,2018-04-05 13:49:00+00:00,12,1153.25
2000000174_00001,16,2018-02-16 12:34:00+00:00,2018-04-10 09:38:00+00:00,10,1269.07
2000000174_00002,16,2018-02-16 12:34:00+00:00,2018-04-10 09:38:00+00:00,10,1269.07
2000000174_00003,20,2018-02-16 12:34:00+00:00,2018-04-26 09:11:00+00:00,14,1652.62
2000000174_00004,20,2018-02-16 12:34:00+00:00,2018-04-26 09:11:00+00:00,14,1652.62
2000000174_00005,20,2018-02-16 12:34:00+00:00,2018-04-26 09:11:00+00:00,14,1652.62
2000000174_00006,20,2018-02-16 12:34:00+00:00,2018-04-26 09:11:00+00:00,14,1652.62
2000000175_00001,12,2018-02-16 12:34:00+00:00,2018-04-26 09:11:00+00:00,12,1652.62
2000000175_00002,12,2018-02-16 12:34:00+00:00,2018-04-26 09:11:00+00:00,12,1652.62
2000000176_00001,13,2018-02-16 15:25:00+00:00,2018-03-08 12:23:00+00:00,13,476.97
